architecture,budget_nominal,budget_actual,n_success,fit_failures,T1_r2,T2_r2,dw_r2,eps_r2
superconducting,3200,3201,100,0,0.7896053112066274,0.9036704595884482,0.9723730835955088,0.84192481260146
superconducting,3250,3246,100,0,0.7535585330340907,0.928560520224041,0.9812687087481098,0.8594979879940315
superconducting,3300,3300,100,0,0.830902041327382,0.8856563191871908,0.9711052167351457,0.8895108265712691
superconducting,3350,3348,100,0,0.8177832801748012,0.8747064990049992,0.9807386499616783,0.904043880615281
superconducting,3400,3399,100,0,0.8362840491944626,0.9039152742533403,0.9806360088282149,0.8737407903210483
superconducting,3450,3447,100,0,0.8256859199590747,0.8902053350434449,0.9772423410923787,0.9160877689229172
superconducting,3500,3504,100,0,0.8354668624131347,0.8802508973408408,0.9819689025709388,0.8714844361147684
superconducting,3550,3552,100,0,0.7838095650008678,0.9223692373614989,0.9764884589064234,0.8838827851155271
superconducting,3600,3603,100,0,0.846445593893701,0.9276504870878783,0.9786793401653474,0.8979104640879905
superconducting,3650,3651,100,0,0.856969269951896,0.9376702946890699,0.9797295438130311,0.8874420813061501
superconducting,3700,3702,100,0,0.8037948537840482,0.9057064307926445,0.9853889082223701,0.888147828083983
superconducting,3750,3750,100,0,0.7594352611353892,0.9229066734120541,0.9772765548233351,0.8829356623975103
superconducting,3800,3801,100,0,0.865861355367367,0.925144159822317,0.9812389715211353,0.8579595865276665
superconducting,3850,3849,100,0,0.8445332208383111,0.9177774124065602,0.9804954300638834,0.9205984512899967
superconducting,3900,3900,100,0,0.8421242340521103,0.9292589279542324,0.9863681357035823,0.9030458608485106
superconducting,3950,3948,100,0,0.8623762927471612,0.9450861079256336,0.9764841227655374,0.8790498508988804
superconducting,4000,3999,100,0,0.8746116736814966,0.9317472196639065,0.9815646012104178,0.906114433323049
superconducting,4050,4053,100,0,0.8225734678481854,0.9073988529653831,0.9813608801303921,0.9186341721497047
superconducting,4100,4098,100,0,0.8967513148527481,0.9260658960217923,0.9849500102719427,0.8822578096706915
superconducting,4150,4152,100,0,0.8422048478327722,0.924109668962421,0.9856844898851003,0.9062310539704856
superconducting,4200,4197,100,0,0.8684725722609652,0.9226974709343754,0.9823939111802256,0.922255380535863
superconducting,4250,4251,100,0,0.8550019019189523,0.9449292337720337,0.982328541951472,0.9013282808486415
superconducting,4300,4296,100,0,0.8562206409057828,0.922913982322427,0.978990383020499,0.9256541020401134
superconducting,4350,4350,100,0,0.8751656851882297,0.9129196003290487,0.9834962552858487,0.8765006240382576
superconducting,4400,4395,100,0,0.8749857179751747,0.9555718971256147,0.9860234129536286,0.9159520787079714
superconducting,4450,4449,100,0,0.8835426657140684,0.9474451894465267,0.9835788201352647,0.9111175400080782
superconducting,4500,4500,100,0,0.8771169574947483,0.9311469299496755,0.9854264259447061,0.9094453850826132
superconducting,4550,4554,100,0,0.8917956537123275,0.9372337817027815,0.9837583979687194,0.9252051168013793
superconducting,4600,4599,100,0,0.8812374290325427,0.9379448468406582,0.9804087756177635,0.9330837896833357
superconducting,4650,4653,100,0,0.8502538440684935,0.9317684638908181,0.9858166115173217,0.9310058214521834
superconducting,4700,4698,100,0,0.8644103897660356,0.93869567872894,0.9877468604326312,0.9271977678631992
superconducting,4750,4752,100,0,0.866874707627185,0.9383258259338594,0.9888419278516418,0.9114879941295175
superconducting,4800,4797,100,0,0.8781045535532114,0.9223720970396166,0.9843738442992227,0.9096057980565765
superconducting,4850,4851,100,0,0.8821466018714471,0.9300213038395609,0.9832391093194458,0.9263552318188629
superconducting,4900,4896,100,0,0.8622872724028922,0.9478829837417899,0.9858797259165918,0.9231690639425705
superconducting,4950,4950,100,0,0.8764838400508811,0.9409923180592653,0.9891774041510422,0.9511456955472312
superconducting,5000,5004,100,0,0.9118275339852644,0.9323788854842932,0.985182980951686,0.9175672571081388
superconducting,5050,5049,100,0,0.906198541816583,0.9349518382262637,0.9879370963667221,0.922057368184169
superconducting,5100,5103,100,0,0.8861628250515977,0.9468920178276287,0.9881715971730604,0.9333239914701603
superconducting,5150,5148,100,0,0.861085576829879,0.9290348385683287,0.987029686894646,0.9142313322295746
superconducting,5200,5202,100,0,0.8657082566391996,0.9346312672497511,0.9898171029196414,0.932305234976657
superconducting,5250,5247,100,0,0.9012124988664567,0.9374977697961921,0.9842383012780754,0.9246320450621596
superconducting,5300,5301,100,0,0.9132661851159752,0.945132143501606,0.9871754074504512,0.9311980914741442
superconducting,5350,5346,100,0,0.8855545063542842,0.9448247795738078,0.9861997936452039,0.9289322921911045
superconducting,5400,5400,100,0,0.8936565660650053,0.952250603127571,0.9884402750553896,0.9300900268047767
superconducting,5450,5451,100,0,0.8739472186954165,0.9448066612429796,0.9879773071420216,0.9271279445687933
superconducting,5500,5505,100,0,0.9161864957460202,0.9488407607362013,0.9864917643938129,0.9377785335742019
superconducting,5550,5550,100,0,0.9002979589712645,0.9496576775835185,0.9880028291442906,0.9493593690599376
superconducting,5600,5604,100,0,0.9015779977310632,0.9596568947146948,0.987026133291328,0.9018428506613158
superconducting,5650,5649,100,0,0.8790347327968944,0.9436431108301142,0.9870757699544317,0.935938819343843
superconducting,5700,5703,100,0,0.9200550922092706,0.9399764870358802,0.9868621454302292,0.9438209676169954
superconducting,5750,5748,100,0,0.9071043992137411,0.945934859568996,0.9865813015295475,0.9190450757038042
superconducting,5800,5802,100,0,0.9187874821793759,0.9561076386380769,0.9897192985095427,0.9281588531998032
superconducting,5850,5847,100,0,0.9187234762318061,0.9460691054034633,0.9856431957698409,0.9297286355566808
superconducting,5900,5901,100,0,0.8850643270990711,0.9578830120799349,0.9889500214262187,0.9380543502359945
superconducting,5950,5952,100,0,0.8913261077574626,0.9552075848772337,0.9869033414042612,0.9369934555580203
superconducting,6000,6000,100,0,0.9033916356045663,0.9425777744917694,0.988410354974286,0.9542456326800706
superconducting,6050,6051,100,0,0.8987619135055708,0.9364789839177314,0.99026705273666,0.9254405310220333
superconducting,6100,6099,100,0,0.9177900565854007,0.9283367530796377,0.9909374325848861,0.9288256249127209
superconducting,6150,6150,100,0,0.9143334425433908,0.9550870378068808,0.9899377716924945,0.9515524992352169
superconducting,6200,6198,100,0,0.9307280648566001,0.9474699561311735,0.9873589665525646,0.90859646991802
superconducting,6250,6249,100,0,0.8838568489670181,0.9603990416867415,0.9889516763108657,0.9201084470595685
superconducting,6300,6297,100,0,0.8991835660211306,0.9417915078519402,0.9881851204122752,0.9366130790706189
superconducting,6350,6348,100,0,0.9269883362888444,0.947090115821426,0.988729053863056,0.9546681401509619
superconducting,6400,6396,100,0,0.9200214088937986,0.9556087387581355,0.9850381205640764,0.9346571869543399
superconducting,6450,6453,100,0,0.918975897807561,0.9579688788371553,0.9891339954425712,0.9428178898693036
superconducting,6500,6501,100,0,0.9137671326558789,0.9600490887407145,0.9892214214072532,0.9279255521407002
superconducting,6550,6552,100,0,0.9004983859971889,0.9595738963613215,0.9893105841487797,0.9261283726787635
superconducting,6600,6600,100,0,0.9272673742945312,0.9545278662682795,0.9906292822601517,0.9420354201643834
superconducting,6650,6654,100,0,0.9341067255111861,0.957158543537101,0.9898643523102408,0.9465729697944519
superconducting,6700,6699,100,0,0.9169202453961991,0.9527374028503715,0.9906363036929076,0.9538962749613801
superconducting,6750,6753,100,0,0.9285731329896377,0.9500505298857441,0.9903496298071671,0.9364482734911628
superconducting,6800,6798,100,0,0.9176939882059637,0.9672123538204349,0.9898693463436354,0.9407122321572055
superconducting,6850,6852,100,0,0.9201579834801881,0.9454487070105666,0.986524931395086,0.9558378446292713
superconducting,6900,6897,100,0,0.9221406341635983,0.9607314889011495,0.9919117058509171,0.9350417192673831
superconducting,6950,6951,100,0,0.9369235339386172,0.9534435519783047,0.9876625208401636,0.9412241394117333
superconducting,7000,7002,100,0,0.9375772433341516,0.94532196240673,0.9920905526648497,0.9475935688216813
superconducting,7050,7050,100,0,0.9388990813555756,0.957525539276339,0.9907164112396342,0.9445638896791052
superconducting,7100,7101,100,0,0.9241349143851098,0.9579346298971831,0.9906339970459908,0.9341666121633633
superconducting,7150,7149,100,0,0.9184466657232698,0.9610891759929163,0.9900567308931254,0.9402019191204068
superconducting,7200,7200,100,0,0.9182694820372873,0.9546451478409401,0.9898979319174056,0.9536074033794607
superconducting,7250,7248,100,0,0.9322274533697662,0.9553520297872543,0.9858810813942079,0.9497940645056107
superconducting,7300,7299,100,0,0.9147507586920879,0.9531277637540968,0.992501285802795,0.9616910483644993
superconducting,7350,7347,100,0,0.9420742742903847,0.9512736967123012,0.9916475600179573,0.9310179327720729
superconducting,7400,7398,100,0,0.9020946968984282,0.9641625847249802,0.9916230454703087,0.9619279082814355
superconducting,7450,7452,100,0,0.900641437691906,0.9622641443530305,0.9926355375801551,0.9652501402468469
superconducting,7500,7503,100,0,0.9279407160498863,0.9566618009886795,0.9899685777060194,0.9521740036770892
superconducting,7550,7551,100,0,0.9344722743820806,0.9483054663920105,0.9893500767578339,0.9485879542613627
superconducting,7600,7602,100,0,0.9083734197932398,0.9593632112510195,0.9903223370652445,0.9502272347792328
