architecture,noise_class,amplitude,instance_idx,seed,t1,ramsey,echo,gate
neutral_atom,quasistatic_dephasing,0.05,4,78541104,0.33220434494763784,2.417222752426558,0.1768973750813387,2.2995791726848154
neutral_atom,quasistatic_dephasing,0.05,5,78541105,1.5914550895220394,0.7772291663233059,0.019769961349402294,1.5162934441731357
neutral_atom,quasistatic_dephasing,0.05,6,78541106,0.5072976762538851,3.984197407109955,0.2760613632754807,1.2733006581449293
neutral_atom,quasistatic_dephasing,0.05,7,78541107,0.7367352649807932,2.39331311025508,0.39840475794737296,0.6570560508564053
neutral_atom,quasistatic_dephasing,0.05,8,78541108,6.3044211915205794,2.4270950968751563,0.753707958475625,0.4499043114341936
neutral_atom,quasistatic_dephasing,0.05,9,78541109,6.192003274363163,0.5787641700256867,0.8039069610411649,0.16402855018526696
neutral_atom,quasistatic_dephasing,0.05,10,78541110,1.3722308410828667,1.9561990063699217,0.07374354572388779,1.5377070251682095
neutral_atom,quasistatic_dephasing,0.05,11,78541111,1.5019920141021736,5.613120159819937,2.894909402359294,2.7783152901483157
neutral_atom,quasistatic_dephasing,0.05,12,78541112,0.2569309956807565,0.8339223180142552,1.3414711701156674,1.3903153113883184
neutral_atom,quasistatic_dephasing,0.05,13,78541113,1.3909134409949522,0.8509862908187081,2.5433935674860266,1.6493290051605936
neutral_atom,quasistatic_dephasing,0.05,14,78541114,0.6398203402196678,13.25484364049099,1.2337262204714778,3.329997114920757
neutral_atom,quasistatic_dephasing,0.05,15,78541115,1.5709141245776088,1.4607642839126005,1.095467913728065,0.3975231332067684
neutral_atom,quasistatic_dephasing,0.05,16,78541116,1.594249260205873,9.404182209540284,0.189910168226329,0.25115686953015004
neutral_atom,quasistatic_dephasing,0.05,17,78541117,2.896506899590522,0.2264636725818184,0.5839160876630707,0.9355594590330845
neutral_atom,quasistatic_dephasing,0.05,18,78541118,0.28619301351185694,0.4286523480076956,0.4874198373801458,0.9338033826201778
neutral_atom,quasistatic_dephasing,0.05,19,78541119,0.13736575807636045,2.31463912228631,1.8038269478118572,0.8858216865875972
neutral_atom,quasistatic_dephasing,0.1,0,78541200,0.12120340218522269,1.5316962412823074,0.8276903970819223,0.3390972005612255
neutral_atom,quasistatic_dephasing,0.1,1,78541201,0.6617881823631949,0.965610564060623,1.202859992728885,0.09898027695962607
neutral_atom,quasistatic_dephasing,0.1,2,78541202,0.5065356491351066,1.0335747519058756,0.4151256938740612,0.02175248822167334
neutral_atom,quasistatic_dephasing,0.1,3,78541203,1.571368897363472,0.5854916018057134,0.4651050383723973,1.7252857666151846
neutral_atom,quasistatic_dephasing,0.1,4,78541204,4.401722505062875,0.9583334075843274,0.10729102989567713,0.7041441378207186
neutral_atom,quasistatic_dephasing,0.1,5,78541205,0.2720872616845125,0.6995333506355929,0.8554015480152195,0.11592452575938014
neutral_atom,quasistatic_dephasing,0.1,6,78541206,0.06742434049965812,13.910083682978927,1.2572668334703294,0.1776669834167778
neutral_atom,quasistatic_dephasing,0.1,7,78541207,1.4272593463141852,1.052613137407938,0.7840567846238534,1.3055939900993467
